revision,effective_date,n_products,n_countries,n_rows,mean_base_rate,mean_total_additional,mean_total_rate,max_total_rate,pct_232,pct_301,pct_ieepa_recip,pct_ieepa_fent,pct_usmca,n_negative_rates,n_na_total
basic,2025-01-01,18969,240,426451,0.0044,0.2283,0.2328,2.125,93.5,4.4,0,0,13.8,0,0
rev_1,2025-01-27,19733,240,444980,0.0048,0.2273,0.2321,2.125,89.6,4.3,0,8.9,14.3,0,0
rev_2,2025-02-01,19733,240,444980,0.0048,0.2273,0.2321,2.125,89.6,4.3,0,8.9,14.3,0,0
rev_3,2025-02-04,19733,240,484358,0.0051,0.224,0.229,2.125,82.4,3.9,0,15.4,15.2,0,0
rev_4,2025-03-04,19733,240,511578,0.0051,0.219,0.2242,2.125,83.4,3.7,0,14.6,15.2,0,0
rev_5,2025-03-05,19733,240,511578,0.0051,0.219,0.2242,2.125,83.4,3.7,0,14.6,15.2,0,0
rev_6,2025-03-12,19733,240,576518,0.005,0.2214,0.2263,2.125,85.7,3.3,0,13,14.8,0,0
rev_7,2025-04-02,19733,240,4493015,0.0111,0.1205,0.1316,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_8,2025-04-03,19733,240,4493015,0.0111,0.1242,0.1354,2.4336,11,0.4,98.8,1.7,23.7,0,0
rev_9,2025-04-05,19733,240,4493015,0.0111,0.1258,0.137,2.8436,11,0.4,98.8,1.7,23.7,0,0
rev_10,2025-04-09,19733,240,4493015,0.0111,0.1258,0.137,2.8436,11,0.4,98.8,1.7,23.7,0,0
rev_11,2025-04-11,19733,240,4493015,0.0111,0.1258,0.137,2.8436,11,0.4,98.8,1.7,23.7,0,0
rev_12,2025-04-14,19733,240,4493015,0.0111,0.1172,0.1283,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_13,2025-04-22,19733,240,4493015,0.0111,0.1172,0.1283,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_14,2025-05-02,19733,240,4493015,0.0111,0.1338,0.1449,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_15,2025-05-14,19733,240,4493015,0.0111,0.1338,0.1449,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_16,2025-06-06,19769,240,4502008,0.0111,0.1338,0.1449,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_17,2025-07-01,19768,240,4501768,0.0111,0.1341,0.1452,2.125,11,0.4,98.8,1.7,23.7,0,0
rev_18,2025-08-07,19768,240,4496287,0.0109,0.1611,0.172,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_19,2025-08-12,19768,240,4496287,0.0109,0.1611,0.172,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_20,2025-08-20,19768,240,4496287,0.0109,0.1621,0.1729,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_21,2025-08-28,19768,240,4496287,0.0109,0.1621,0.1729,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_22,2025-09-03,19768,240,4496287,0.0109,0.1621,0.1729,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_23,2025-09-12,19768,240,4544665,0.0109,0.162,0.1728,2.125,10.9,0.4,99,1.6,23.5,0,0
rev_24,2025-09-19,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_25,2025-09-26,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_26,2025-10-06,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_27,2025-10-15,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_28,2025-10-22,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_29,2025-10-31,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_30,2025-11-05,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_31,2025-11-12,19768,240,4500736,0.0109,0.1619,0.1728,2.125,11,0.4,98.8,1.7,23.6,0,0
rev_32,2025-11-15,19768,240,4499571,0.0109,0.1609,0.1718,2.125,11,0.4,98.8,1.7,23.6,0,0
2026_basic,2026-01-01,19768,240,4495911,0.0109,0.161,0.1718,2.125,11,0.4,98.8,1.7,23.6,0,0
2026_rev_1,2026-01-16,19768,240,4495911,0.0109,0.161,0.1718,2.125,11,0.4,98.8,1.7,23.6,0,0
2026_rev_2,2026-01-30,19855,240,4517315,0.0108,0.1609,0.1717,2.125,11,0.4,98.8,1.7,23.4,0,0
2026_rev_3,2026-02-12,19856,240,4517555,0.0108,0.1599,0.1707,2.125,11,0.4,98.8,1.7,23.4,0,0
2026_rev_4,2026-02-25,19856,240,4765440,0.0115,0.117,0.1286,2.125,10.4,0.4,0,0,24.9,0,0
